questao_numero,retrieval_recall,has_doc_ref,abstained,z_winner,i_star,eta,z_agent_qwen35_9b,z_agent_granite41_8b,z_agent_gemma4_e4b,confidence_raw_qwen35_9b,confidence_raw_granite41_8b,confidence_raw_gemma4_e4b,confidence_calib_qwen35_9b,confidence_calib_granite41_8b,confidence_calib_gemma4_e4b,fold_k
92,0.6,True,False,0,granite41_8b,0.9334578988608282,0,0,0,0.6,0.95,0.6,0.0,0.20425531914893616,0.07407407407407407,5
93,0.25,True,False,0,qwen35_9b,0.9266920741027574,0,0,0,0.95,0.95,0.95,0.23741007194244604,0.20425531914893616,0.15178571428571427,5
94,1.0,True,False,0,granite41_8b,0.7673006879805747,1,0,0,0.95,1.0,1.0,0.23741007194244604,0.7142857142857143,0.43902439024390244,0
95,1.0,True,False,1,gemma4_e4b,0.8440629815100154,1,1,1,0.95,0.98,1.0,0.22676579925650558,0.3656716417910448,0.4322033898305085,7
96,0.5,True,False,1,qwen35_9b,0.9266920741027574,1,0,0,0.95,0.95,0.95,0.23741007194244604,0.20425531914893616,0.15178571428571427,6
97,0.25,True,False,1,gemma4_e4b,0.8440629815100154,1,0,1,0.95,0.98,1.0,0.22676579925650558,0.3656716417910448,0.4322033898305085,7
98,1.0,True,False,0,gemma4_e4b,0.8507925897631781,0,0,0,0.95,0.95,1.0,0.23880597014925373,0.2079646017699115,0.42016806722689076,8
99,1.0,True,False,1,granite41_8b,0.9334578988608282,0,1,0,0.3,0.95,0.3,0.0,0.20425531914893616,0.0,5
100,1.0,True,False,0,granite41_8b,0.9306372670193306,0,0,0,0.65,0.95,0.6,0.0,0.20353982300884957,0.08888888888888889,3
101,1.0,True,False,1,gemma4_e4b,0.832572298325723,0,0,1,0.95,0.98,1.0,0.24621212121212122,0.3712121212121212,0.45267489711934156,9
102,0.3333333333333333,True,False,0,granite41_8b,0.9218079399141631,0,0,0,0.1,0.95,0.1,0.0,0.22746781115879827,0.0,7
103,0.0,True,False,1,qwen35_9b,0.929439780783785,1,0,1,0.95,0.95,0.9,0.22743682310469315,0.20425531914893616,0.1206896551724138,4
104,1.0,True,False,1,gemma4_e4b,0.8440629815100154,0,1,1,0.95,0.98,1.0,0.22676579925650558,0.3656716417910448,0.4322033898305085,7
105,1.0,True,True,0,gemma4_e4b,0.9351117519826965,0,0,0,0.85,0.2,0.9,0.06,0.05555555555555555,0.17543859649122806,9
106,0.5,True,False,0,gemma4_e4b,0.8395633248117184,1,0,0,0.95,0.95,1.0,0.23741007194244604,0.20425531914893616,0.43902439024390244,6
